Feature,Fisher_Score
ANGPT1,632.3323567089466
TSGA14,631.9076332669415
NEFL,631.9034664677761
TUSC3,631.4524782444558
EXOSC5,631.2067486729013
ENC1,631.0261313116742
HECW2,630.18574191818
UCHL1,630.0993759962533
NPFF,628.9572274867487
MS4A6A,627.9650822955123
RBM3,627.8749809658905
SMOX,627.6640224363402
SERPINB6,627.2310109020682
RHEBL1,626.8683051462099
OCA2,626.8458709542609
ADC,626.716154649788
ZNF365,626.478830200611
PEX11B,626.3477427784064
DLEU7,625.9692171309315
TPD52L1,625.8519780016393
SUSD4,625.4727807306318
CPNE4,625.0313922785024
SPA17,624.964747192487
AUP1,624.5704702456464
ATCAY,624.5651748427567
TTC9,624.4133389919898
CTDSP2,623.8297314518666
TCEAL6,623.711704178822
HCLS1,623.5518409781935
GABBR2,623.502729674854
PACSIN1,623.4299556583503
PDCD6,622.955401157917
GAPDHS,622.5601796208866
C1orf33,622.463453540323
RPP40,622.3011962972249
MYCT1,622.1829576753637
NDRG4,622.1453239487931
ASTN,621.6927466464374
RNF128,621.4630177880553
KIAA1045,621.0365062887165
PRKX,620.8611800055751
TNFRSF1A,620.8588058504524
ATP5B,620.8490658507659
OPA1,620.5725631699083
FGF12,619.8470737398461
SFRS12,619.5922003355599
C1QTNF5,619.4355576548459
FAM19A1,619.1044011547156
PALLD,617.7614054188481
CFI,617.4064892655135
GPR146,617.2270129325078
DUSP2,617.0922371872886
SLC12A6,616.9104019596169
MOAP1,616.6208231400117
CPT1B,616.312439760683
HEXDC,615.9350241935434
C12orf43,615.4978365723819
DENR,614.4876546612222
DPP10,614.3368559460283
FOXO1A,614.33621523506
ADCY1,614.1295489394773
ME3,613.9065288101758
CLSTN3,613.4377741155317
C9orf30,613.3197328227559
RNF11,612.7065680944384
HNRPK,612.3311519150582
FAM107A,611.990487215236
DMRTC1,611.8685524328163
C12orf24,611.8180396263202
SIDT1,611.3273434473793
BOC,611.2921545640819
CDH8,610.736762051267
GIMAP4,610.551066723738
RREB1,610.0127915361493
NHLRC2,609.8799689588188
POLR2K,609.6798803104515
SLA,609.5844617132301
S100A6,608.8432174353452
RP1-112K5.2,608.8197116395661
MAGEL2,608.7847567391842
SEZ6L2,608.688359257965
SSFA2,608.6554479579596
PAK3,608.535940522576
C3orf40,608.5062524684465
AKAP6,607.9104080616
FIBP,607.904043758577
NDUFA4,607.7790599741758
KCNG3,607.526390076574
ARMCX5,606.86685044147
PITPNA,606.5303846122736
USMG5,606.4607418959816
ATP1B1,605.636289861312
EIF2S1,605.5380742349071
C1orf90,605.1568811414419
HRASLS,605.1211382905416
ARF5,604.4897161817152
NAP1L2,604.4022271966207
HIST1H2BD,604.0944800557443
WDR40A,603.6784437586496
C20orf28,603.5810474404362
ZBTB16,603.2952409075024
ITFG1,603.1719195957692
NELL1,603.0634053635029
COG8,602.5938044377684
EGR1,602.2153168193475
DHDDS,602.1329389730818
TBC1D24,601.6894927438416
KIAA1166,601.6352546138693
SERTAD1,601.0888339432415
GPR61,600.7039672030826
COG1,600.3408113209338
STMN2,599.832601440791
PPCS,599.5055443054938
CRI2,598.9781647039938
HSPB2,598.8870997714539
NDUFS3,598.751241124596
FAM3C,598.6568646329085
C1orf76,598.2606506900638
MPST,598.1976437030025
TSNAX,598.1962037826132
LRRC32,598.047996373662
TNIP2,597.8124334531817
NLK,597.3361377595783
MARCH4,596.8912515654355
PRPF4B,596.5189432116802
KIF7,596.3752911994166
DLEC1,596.2978534979452
VDAC2,596.1784209564304
PPAPDC1B,596.0587492385787
SEZ6L,596.044239397886
GSS,595.639475506737
CFC1,595.3992755512901
COX7A2,595.0525414933923
ZNHIT3,594.4962729569115
CHCHD2,594.4593757726061
CMTM3,594.0408913808433
TBC1D9,593.8996173484716
XX-FW81657B9.4,593.809866877896
FAM19A2,593.718291782701
VAMP5,593.5529568550177
CCRK,592.7810783559285
DMN,592.7603474609685
C1orf102,592.1690883734427
FAM84A,591.053956502406
TLR2,590.7367187681848
KCNV1,590.6630164884882
C6orf151,590.5249927373858
ILK,590.2649504231063
SART2,590.0946350984759
RP11-529I10.4,589.4330267415396
TMEM16B,589.3154951323722
PPAP2A,589.3116745801915
FKBP1B,588.9883774690618
KCNK1,588.6687624703154
ETV5,588.3042116940474
CRTAC1,588.0628193440332
DOPEY1,588.0322826157791
CFHR1,587.5891953531464
FAM40B,587.4511855944854
BDH1,586.893406709581
B3GNT1,586.44469605502
BASP1,585.5258094512616
NAP1L3,585.4853508328373
SYT1,585.3632877164783
PARD3,584.6465190140223
PPM1A,584.6409865267452
NDN,584.2767386339767
COX4I1,584.1474646636748
PHF19,584.1411877059145
SLC39A3,583.5964074943683
CCND2,583.2292379152863
GABRG2,582.9890126475689
TARBP1,582.9256736794862
CCNA1,582.1624673881647
GLT1D1,582.0323767262071
MKLN1,581.5810241292501
KCNS2,581.3224677342279
IMMT,581.2044362069163
VASP,580.9426678498958
MRPS25,580.6645681317174
DOCK6,579.9232826458203
PHF14,579.731519803491
SLC39A11,579.3462446167299
C6orf57,579.3129141734576
DGKI,579.2807300234338
CNIH3,578.9082931950886
TNFRSF1B,578.5758133831578
SMO,578.4451790244054
CFH,578.2534478040235
C8orf79,577.9511165729404
PSCD2,577.9314383058024
NDUFA6,577.8533380979761
CYBASC3,577.7486652153459
